chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
72775731505,7922565,1129281305,1,AUTORIZADO,Autorizado
27143019720,7952784,1129347218,2,AUTORIZADO,Autorizado
72775831505,7952326,1129309723,1,AUTORIZADO,Autorizado
6319413748,7589942,1127419283,1,AUTORIZADO,Autorizado
99435532720,7952340,1129194871,1,AUTORIZADO,Autorizado
99435732720,7928291,1128875660,1,AUTORIZADO,Autorizado
67858720505,7755705,1129259107,1,AUTORIZADO,Autorizado
6319513748,7776168,1129093341,1,AUTORIZADO,Autorizado
27143119720,7443602,1129153373,1,AUTORIZADO,Autorizado
67858820505,7669453,1129304878,1,AUTORIZADO,Autorizado
6319713748,7768323,1129165571,1,AUTORIZADO,Autorizado
67858920505,7972379,1129306955,1,AUTORIZADO,Autorizado
67859020505,7600555,1129319897,1,AUTORIZADO,Autorizado
67859120505,7723131,1129358839,1,AUTORIZADO,Autorizado
1831194748,7802775,1129040929,1,AUTORIZADO,Autorizado
27374152910,5505159,1129379115,1,AUTORIZADO,Autorizado
27374252910,7977152,1129380930,1,AUTORIZADO,Autorizado
27374552910,7733819,1129257112,1,AUTORIZADO,Autorizado
27374452910,7979170,1129252707,1,AUTORIZADO,Autorizado
67859220505,7723162,1129361601,1,AUTORIZADO,Autorizado
27374352910,7977909,1129365533,1,AUTORIZADO,Autorizado
47990259630,7868962,1129293903,5,AUTORIZADO,Autorizado
27374752910,5505159,1129089468,1,AUTORIZADO,Autorizado
27374852910,7844461,1129344607,1,AUTORIZADO,Autorizado
27374652910,7844386,1129073344,1,AUTORIZADO,Autorizado
27374952910,7844386,1129306153,1,AUTORIZADO,Autorizado
27375052910,7977800,1129138354,1,AUTORIZADO,Autorizado
1831204748,7918346,1129042374,4,AUTORIZADO,Autorizado
67859320505,7723155,1129366702,1,AUTORIZADO,Autorizado
67859420505,5863310,1129373840,1,AUTORIZADO,Autorizado
1831214748,7865343,1129053924,1,AUTORIZADO,Autorizado
67859420505,5863372,1129373840,1,AUTORIZADO,Autorizado
32550871100,7362712,1129146033,1,AUTORIZADO,Autorizado
27375252910,6797607,1129359227,1,AUTORIZADO,Autorizado
